trial,succeeded,deadline,last_step_deadline,num_steps,total_reward,max_possible_reward,performance,reward = -1,reward = 0.5,reward = 1,reward = 2,
0,1,45,26,20,23.0,50,0.46,0.2,0.3,0.3,0.2,
1,1,20,11,10,23.5,30,0.783333333333,0.1,0.1,0.2,0.6,
2,1,35,15,21,34.0,52,0.653846153846,0.0,0.0952380952381,0.714285714286,0.190476190476,
3,1,20,9,12,21.0,34,0.617647058824,0.166666666667,0.0,0.583333333333,0.25,
4,1,35,28,8,21.0,26,0.807692307692,0.0,0.25,0.25,0.5,
5,1,35,6,30,41.5,70,0.592857142857,0.1,0.1,0.5,0.3,
6,1,20,9,12,25.5,34,0.75,0.0833333333333,0.0833333333333,0.333333333333,0.5,
7,1,35,19,17,31.0,44,0.704545454545,0.0588235294118,0.0,0.588235294118,0.352941176471,
8,1,40,21,20,36.0,50,0.72,0.0,0.1,0.55,0.35,
9,1,25,3,23,42.0,56,0.75,0.0434782608696,0.0869565217391,0.347826086957,0.521739130435,
10,1,35,16,20,32.0,50,0.64,0.1,0.0,0.6,0.3,
11,1,20,15,6,19.0,22,0.863636363636,0.0,0.0,0.5,0.5,
12,1,30,24,7,22.0,24,0.916666666667,0.0,0.0,0.285714285714,0.714285714286,
13,1,20,11,10,23.0,30,0.766666666667,0.0,0.0,0.7,0.3,
14,1,20,15,6,19.0,22,0.863636363636,0.0,0.0,0.5,0.5,
15,1,25,14,12,26.0,34,0.764705882353,0.0,0.0,0.666666666667,0.333333333333,
16,1,30,22,9,22.0,28,0.785714285714,0.111111111111,0.0,0.333333333333,0.555555555556,
17,1,30,25,6,21.0,22,0.954545454545,0.0,0.0,0.166666666667,0.833333333333,
18,1,25,18,8,22.0,26,0.846153846154,0.0,0.0,0.5,0.5,
19,1,20,12,9,22.5,28,0.803571428571,0.0,0.111111111111,0.444444444444,0.444444444444,
20,1,25,14,12,26.0,34,0.764705882353,0.0,0.0,0.666666666667,0.333333333333,
21,1,35,14,22,38.0,54,0.703703703704,0.0,0.0,0.727272727273,0.272727272727,
22,1,35,19,17,33.0,44,0.75,0.0,0.0,0.647058823529,0.352941176471,
23,1,20,16,5,20.0,20,1.0,0.0,0.0,0.0,1.0,
24,1,30,18,13,28.0,36,0.777777777778,0.0,0.0,0.615384615385,0.384615384615,
25,1,20,5,16,35.0,42,0.833333333333,0.0,0.0,0.4375,0.5625,
26,1,30,19,12,27.0,34,0.794117647059,0.0,0.0,0.583333333333,0.416666666667,
27,1,30,25,6,19.0,22,0.863636363636,0.166666666667,0.0,0.0,0.833333333333,
28,1,35,21,15,31.0,40,0.775,0.0,0.0,0.6,0.4,
29,1,20,10,11,24.0,32,0.75,0.0909090909091,0.0,0.454545454545,0.454545454545,
30,1,35,24,12,26.5,34,0.779411764706,0.0,0.0833333333333,0.5,0.416666666667,
31,1,25,16,10,24.0,30,0.8,0.0,0.0,0.6,0.4,
32,1,40,20,21,36.0,52,0.692307692308,0.047619047619,0.0,0.619047619048,0.333333333333,
33,1,25,16,10,22.5,30,0.75,0.1,0.1,0.3,0.5,
34,1,30,12,19,33.0,48,0.6875,0.0526315789474,0.105263157895,0.473684210526,0.368421052632,
35,1,20,18,3,16.0,16,1.0,0.0,0.0,0.0,1.0,
36,1,35,21,15,31.0,40,0.775,0.0,0.0,0.6,0.4,
37,1,30,21,10,25.0,30,0.833333333333,0.0,0.0,0.5,0.5,
38,1,25,19,7,21.0,24,0.875,0.0,0.0,0.428571428571,0.571428571429,
39,1,30,16,15,30.0,40,0.75,0.0,0.0,0.666666666667,0.333333333333,
40,1,25,15,11,25.0,32,0.78125,0.0,0.0,0.636363636364,0.363636363636,
41,1,25,21,5,19.0,20,0.95,0.0,0.0,0.2,0.8,
42,1,30,21,10,27.0,30,0.9,0.0,0.0,0.3,0.7,
43,1,30,21,10,25.0,30,0.833333333333,0.0,0.0,0.5,0.5,
44,1,20,5,16,27.5,42,0.654761904762,0.0625,0.0625,0.625,0.25,
45,1,25,17,9,23.0,28,0.821428571429,0.0,0.0,0.555555555556,0.444444444444,
46,1,25,17,9,23.0,28,0.821428571429,0.0,0.0,0.555555555556,0.444444444444,
47,1,25,19,7,19.0,24,0.791666666667,0.142857142857,0.0,0.285714285714,0.571428571429,
48,1,25,20,6,20.0,22,0.909090909091,0.0,0.0,0.333333333333,0.666666666667,
49,1,40,25,16,33.0,42,0.785714285714,0.0,0.0,0.5625,0.4375,
50,1,40,17,24,39.0,58,0.672413793103,0.0416666666667,0.0,0.666666666667,0.291666666667,
51,1,40,21,20,37.0,50,0.74,0.0,0.0,0.65,0.35,
52,1,25,18,8,22.0,26,0.846153846154,0.0,0.0,0.5,0.5,
53,1,30,10,21,36.0,52,0.692307692308,0.0,0.0,0.761904761905,0.238095238095,
54,1,20,9,12,21.0,34,0.617647058824,0.166666666667,0.0,0.583333333333,0.25,
55,1,30,23,8,23.0,26,0.884615384615,0.0,0.0,0.375,0.625,
56,1,20,6,15,28.5,40,0.7125,0.0,0.0666666666667,0.666666666667,0.266666666667,
57,1,25,22,4,18.0,18,1.0,0.0,0.0,0.0,1.0,
58,1,20,14,7,20.0,24,0.833333333333,0.0,0.0,0.571428571429,0.428571428571,
59,1,40,25,16,35.0,42,0.833333333333,0.0,0.0,0.4375,0.5625,
60,1,20,13,8,21.0,26,0.807692307692,0.0,0.0,0.625,0.375,
